"p" "s1" "s2" "n" "nsp1" "m" "nsp2" "nsh" "fm1" "fm2" "f1m" "f2m" "u_pt1" "v_pt1" "Junad" "Lunad" "U" "V" "Jabd" "Labd"
6 1 32 82 32 104 30 13 3 5 3 5 0.524390243902439 0.519230769230769 0.352994831255701 0.521797752808989 0.549753752345216 0.536327392120075 0.372643634797841 0.542957582508621
6 1 33 82 32 57 25 9 4 2 4 1 0.341463414634146 0.385964912280702 0.221264367816092 0.362352941176471 0.413350449293967 0.559264013692768 0.311786891962072 0.475362109306832
6 1 34 82 32 94 30 15 4 6 3 5 0.682926829268293 0.670212765957447 0.511156186612576 0.676510067114094 0.715101193565127 0.682823040996367 0.536794075588459 0.698589465062732
6 1 35 82 32 146 38 16 6 3 3 6 0.707317073170732 0.568493150684931 0.460229445506692 0.630352232552049 0.901102572669562 0.575258937520882 0.541096498981153 0.702222734707245
6 1 36 82 32 3 1 1 0 1 0 1 0.121951219512195 1 0.121951219512195 0.217391304347826 0.121951219512195 1 0.121951219512195 0.217391304347826
6 1 37 82 32 16 5 3 0 1 0 1 0.219512195121951 0.8125 0.208928571428571 0.345642540620384 0.219512195121951 0.8125 0.208928571428571 0.345642540620384
6 1 38 82 32 19 8 5 3 1 1 2 0.25609756097561 0.789473684210526 0.23972602739726 0.386740331491713 0.342747111681643 0.802471116816431 0.316080224293968 0.480335800902311
6 1 39 82 32 19 10 5 1 2 0 2 0.280487804878049 0.631578947368421 0.241048034934498 0.388458831808585 0.286264441591784 0.631578947368421 0.245302044183701 0.393963930806036
6 1 40 82 32 30 15 5 3 1 0 3 0.280487804878049 0.5 0.219047619047619 0.359375 0.475 0.5 0.322033898305085 0.487179487179487
6 1 41 82 32 14 11 4 2 1 1 1 0.231707317073171 0.5 0.188118811881188 0.316666666666667 0.265679442508711 0.535278745644599 0.21588387440845 0.355106073782714
6 1 42 82 32 5 2 1 0 1 0 1 0.121951219512195 0.8 0.118343195266272 0.211640211640212 0.121951219512195 0.8 0.118343195266272 0.211640211640212
6 1 43 82 32 14 9 4 1 2 1 1 0.231707317073171 0.642857142857143 0.205282112845138 0.340637450199203 0.234538327526132 0.678135888501742 0.211044991049816 0.34853369215766
6 1 44 82 32 15 5 3 1 1 0 1 0.219512195121951 0.733333333333333 0.203285420944559 0.337883959044369 0.230894308943089 0.733333333333333 0.213009682258284 0.351208544125913
6 1 45 82 32 4 4 1 1 1 0 1 0.0731707317073171 0.25 0.06 0.113207547169811 0.100609756097561 0.25 0.0772833723653396 0.143478260869565
6 1 46 82 32 15 7 3 1 1 0 1 0.219512195121951 0.6 0.191489361702128 0.321428571428571 0.230894308943089 0.6 0.200093940817285 0.333463796477495
6 1 47 82 32 10 8 5 4 1 1 1 0.304878048780488 0.7 0.269645608628659 0.424757281553398 0.634146341463415 0.749390243902439 0.523192795742939 0.686968579690204
6 1 48 82 32 26 13 5 1 1 1 2 0.25609756097561 0.615384615384615 0.220762155059133 0.361679224973089 0.267823639774859 0.643878986866792 0.233269491067551 0.378294432412541
6 1 49 82 32 1 1 1 1 1 0 1 0.121951219512195 1 0.121951219512195 0.217391304347826 0.121951219512195 1 0.121951219512195 0.217391304347826
6 1 50 82 32 12 7 4 1 2 1 2 0.182926829268293 0.666666666666667 0.167597765363128 0.287081339712919 0.188516260162602 0.707825203252032 0.174905888791231 0.297735998193315
6 1 51 82 32 27 12 4 3 1 1 2 0.134146341463415 0.296296296296296 0.101734104046243 0.184679958027282 0.292682926829268 0.305442637759711 0.17572827622796 0.29892668192304
6 1 52 82 32 13 7 4 2 1 0 2 0.24390243902439 0.692307692307692 0.220048899755501 0.360721442885772 0.378986866791745 0.692307692307692 0.324353256021409 0.489828910144147
6 1 53 82 32 4 3 1 0 1 0 1 0.024390243902439 0.5 0.0238095238095238 0.0465116279069767 0.024390243902439 0.5 0.0238095238095238 0.0465116279069767
6 1 54 82 32 12 9 3 1 2 0 1 0.219512195121951 0.416666666666667 0.167910447761194 0.287539936102236 0.236280487804878 0.416666666666667 0.177548682703322 0.301556420233463
6 1 55 82 32 9 7 2 2 1 1 1 0.0853658536585366 0.222222222222222 0.0657276995305164 0.123348017621145 0.161246612466125 0.27710027100271 0.113501160173968 0.203863568774791
6 1 56 82 32 1 1 1 1 1 0 1 0.024390243902439 1 0.024390243902439 0.0476190476190476 0.024390243902439 1 0.024390243902439 0.0476190476190476
